model,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,isConv,finTol,NSE,R2_test,id,seed
lm,0.6453041090326911,0.6441524989970829,41.398440445279434,560.34950120239,2.6885091843339728e-71,1,-1593.073100557609,3192.146201115218,3203.3559180076554,527859.9083608151,308,310,NA,NA,0.5820586731876399,0.5830632230323664,1_s1_m1_r3_Bakel_-12.625_14.875,1
poly,0.7865917896605786,0.7852015081599961,32.16382085245432,565.7787932379051,1.0812036458419646e-103,2,-1514.324735965206,3036.649471930412,3051.5957611203285,317594.9911514341,307,310,NA,NA,0.6966450559946442,0.6988569722264762,1_s1_m1_r3_Bakel_-12.625_14.875,1
step,0.7210005367536546,0.7154757949071924,37.01788739177389,130.5039324534847,6.242141030631724e-81,6,-1555.8652080798317,3127.7304161596635,3157.622994539497,415208.1680458659,303,310,NA,NA,0.6745494100229381,0.6776117651610049,1_s1_m1_r3_Bakel_-12.625_14.875,1
nls,NA,NA,32.87530312002569,NA,NA,NA,-1521.6114359043713,3049.2228718087426,3060.43258870118,332881.9510119399,308,310,TRUE,8.326272832031482e-6,0.6765223230138393,0.6815953837960105,1_s1_m1_r3_Bakel_-12.625_14.875,1
lm,0.46821260948320315,0.466463308856503,50.91615212832136,267.6570295218348,1.366181959005195e-43,1,-1635.8270512500017,3277.6541025000033,3288.8248578058606,788106.1824565266,304,306,NA,NA,0.48591104637893345,0.4938101999011538,2_s2_m1_r3_Bakel_-12.625_14.875,1
poly,0.5666302804530454,0.5637697542514153,46.039576151255446,198.0860305108035,9.639894718885466e-56,2,-1604.5152113851698,3217.0304227703396,3231.924763178149,642251.6993727365,303,306,NA,NA,0.5881393322484998,0.5954231747271037,2_s2_m1_r3_Bakel_-12.625_14.875,1
step,0.6633087949487253,0.6553999411387961,40.919573976413155,83.86914348017987,1.0953605459823711e-66,7,-1565.8941841453056,3149.7883682906113,3183.3006342081826,498974.6372545223,298,306,NA,NA,0.610631397432504,0.6206667576143248,2_s2_m1_r3_Bakel_-12.625_14.875,1
nls,NA,NA,46.99072453354258,NA,NA,NA,-1611.2766798334976,3228.553359666995,3239.7241149728525,671270.9704249332,304,306,TRUE,2.653529114761003e-6,0.5630187271228715,0.5800487041750976,2_s2_m1_r3_Bakel_-12.625_14.875,1
lm,0.6356739268562002,0.6344754858261219,42.143605132575075,530.4173596381911,1.2712696148256383e-68,1,-1577.963293423948,3161.926586847896,3173.0973421537533,539929.369885404,304,306,NA,NA,0.6449154064141134,0.6460940564421259,3_s3_m1_r3_Bakel_-12.625_14.875,1
poly,0.726777524330906,0.7249740756466216,36.556132802095895,402.9931822647167,4.287833936990634e-86,2,-1533.9355728632897,3075.8711457265795,3090.765486134389,404914.3061696749,303,306,NA,NA,0.7517221163555671,0.7522003515255546,3_s3_m1_r3_Bakel_-12.625_14.875,1
step,0.7261951226968245,0.720700710443249,36.83904348768753,132.16975523164666,4.771535824725975e-81,6,-1534.2613609000255,3084.522721800051,3114.31140261567,405777.42240123224,299,306,NA,NA,0.6758181837697887,0.6760882688477364,3_s3_m1_r3_Bakel_-12.625_14.875,1
nls,NA,NA,83.7145334410574,NA,NA,NA,-1787.9801643885846,3581.9603287771693,3593.1310840830265,2130469.425213191,304,306,TRUE,8.71668584961957e-8,-0.4661998475946616,0.009490974125425192,3_s3_m1_r3_Bakel_-12.625_14.875,1
lm,0.6855902886898071,0.6845694779388,58.23170823756641,671.6135072180733,2.254323887235849e-79,1,-1698.841012197058,3403.682024394116,3414.8917412865535,1044407.0080336382,308,310,NA,NA,0.665451189775053,0.6664132284773698,4_s1_m1_r3_Bamako-Senou_-7.875_12.375,1
poly,0.745908138298896,0.744252816724296,52.43401363184664,450.61222528869007,4.635332946844439e-92,2,-1665.8258437750794,3339.651687550159,3354.5979767400754,844043.0161622164,307,310,NA,NA,0.7052106577391926,0.7084206046222484,4_s1_m1_r3_Bamako-Senou_-7.875_12.375,1
step,0.8013738835925217,0.798107006677925,46.5873810139074,245.3027477135474,2.0549257539295294e-104,5,-1627.6537432400303,3269.3074864800606,3295.463492562415,659796.7571994339,304,310,NA,NA,0.7465059271508283,0.75035551745526885,4_s1_m1_r3_Bamako-Senou_-7.875_12.375,1
nls,NA,NA,54.3650384818948,NA,NA,NA,-1677.5412999557986,3361.0825999115973,3372.2923168040347,910311.6820144741,308,310,TRUE,9.408346292151186e-6,0.6943409608275792,0.6972788221856884,4_s1_m1_r3_Bamako-Senou_-7.875_12.375,1
lm,0.6063581213266861,0.605063246725787,65.23730133333062,468.2755541777394,1.6720987202114984e-63,1,-1711.669520851635,3429.33904170327,3440.5097970091274,1293795.2675177576,304,306,NA,NA,0.6209559837245329,0.6308566650753361,5_s2_m1_r3_Bamako-Senou_-7.875_12.375,1
poly,0.6728699435194451,0.6707106692192434,59.56910036450135,311.6185578907678,3.020980817508863e-74,2,-1683.3517085519022,3374.7034171038044,3389.597757511614,1075188.7486255188,303,306,NA,NA,0.7255391164625866,0.7330317083826335,5_s2_m1_r3_Bamako-Senou_-7.875_12.375,1
step,0.7011964399348543,0.6941775643628543,57.40726846985961,99.90153447542086,2.3671283233257126e-74,7,-1669.494276650541,3356.988553301082,3390.5008192186533,982087.1530048201,298,306,NA,NA,0.7131758686846769,0.7177398055783506,5_s2_m1_r3_Bamako-Senou_-7.875_12.375,1
nls,NA,NA,62.47462825373768,NA,NA,NA,-1698.4286299502617,3402.8572599005233,3414.0280152063806,1186536.0693345864,304,306,TRUE,2.9539896766280133e-6,0.6984834696550163,0.7108580334852002,5_s2_m1_r3_Bamako-Senou_-7.875_12.375,1
lm,0.8121429895806329,0.811525038888464,45.06704084457457,1314.2520914250595,2.1221105400845233e-112,1,-1598.4861692442453,3202.9723384884905,3214.143093794348,617435.603827912,304,306,NA,NA,0.7697193895473324,0.7722180476684174,6_s3_m1_r3_Bamako-Senou_-7.875_12.375,1
poly,0.8841276745718613,0.8833628407406524,35.45281123992973,1155.9735441808036,1.5592940183665526e-142,2,-1524.5577705281798,3057.1155410563597,3072.009881464169,380841.2529186686,303,306,NA,NA,0.8332850140041227,0.8351830316424622,6_s3_m1_r3_Bamako-Senou_-7.875_12.375,1
step,0.8368059706857324,0.8329725538897597,42.42541818981574,218.29245689246608,2.66051773420873e-113,7,-1576.9527604747223,3171.9055209494445,3205.417786867016,536375.0003570629,298,306,NA,NA,0.7942549463123202,0.7962489441066771,6_s3_m1_r3_Bamako-Senou_-7.875_12.375,1
nls,NA,NA,39.67635579888603,NA,NA,NA,-1559.5030730437861,3125.0061460875722,3136.1769013934295,478560.8156818583,304,306,TRUE,5.696416607168525e-6,0.8198392049235717,0.8237722484015876,6_s3_m1_r3_Bamako-Senou_-7.875_12.375,1
lm,0.6547060567906015,0.6535849725594021,58.854705910844636,583.9936363124034,4.262389691484839e-73,1,-1702.1399619980627,3410.2799239961255,3421.489640888563,1066873.933618419,308,310,NA,NA,0.6962467827230108,0.6979828184781154,7_s1_m1_r3_Bamako-Ville_-7.875_12.625,1
poly,0.7088278260714989,0.7069309389449288,54.133713320870044,373.6794963405147,5.584764788629683e-83,2,-1675.715359197989,3359.430718395978,3374.3770075858947,899650.8877971859,307,310,NA,NA,0.7634845807153013,0.7649450261800588,7_s1_m1_r3_Bamako-Ville_-7.875_12.625,1
step,0.793046927704871,0.7896430942789643,45.862869018489164,232.98640928458934,1.0400339194571767e-101,5,-1622.7948420129153,3259.5896840258306,3285.745690108185,639434.4374005563,304,310,NA,NA,0.7585731728525812,0.7589211724941614,7_s1_m1_r3_Bamako-Ville_-7.875_12.625,1
nls,NA,NA,55.98475143704125,NA,NA,NA,-1686.642306490607,3379.284612981214,3390.4943298736516,965362.0571879258,308,310,TRUE,5.0882625253609575e-6,0.7553063126881261,0.7645053598153352,7_s1_m1_r3_Bamako-Ville_-7.875_12.625,1
lm,0.612467729209676,0.6111887448176287,62.56260360475177,478.8703701296127,2.483506024999859e-64,1,-1693.3041120286673,3392.6082240573346,3403.769159387157,1185966.0490510056,303,305,NA,NA,0.595739565030372,0.5989515940967536,8_s2_m1_r3_Bamako-Ville_-7.875_12.625,1
poly,0.7001459028487405,0.6981601141258844,55.12311022413094,352.5782450016982,1.0313547841276816e-79,2,-1654.1873875614062,3316.3747751228125,3331.2560222292423,917644.29879607,302,305,NA,NA,0.6911594608919821,0.6919390665819816,8_s2_m1_r3_Bamako-Ville_-7.875_12.625,1
step,0.7051925380985542,0.698244214080675,55.11543036759934,101.49102665390625,5.898205585763125e-75,7,-1651.5989224388104,3321.197844877621,3354.6806508670875,902200.0673878902,297,305,NA,NA,0.6579632193033869,0.6585032529998337,8_s2_m1_r3_Bamako-Ville_-7.875_12.625,1
nls,NA,NA,57.40452484588986,NA,NA,NA,-1667.0605142723139,3340.1210285446277,3351.28196387445,998469.6802530632,303,305,TRUE,3.3130584788385927e-6,0.6575146697795267,0.6607929683457476,8_s2_m1_r3_Bamako-Ville_-7.875_12.625,1
lm,0.8041919545993053,0.8035457234263657,44.47092301781732,1244.4338624848194,2.6312382281199556e-109,1,-1589.1978054183642,3184.3956108367283,3195.5565461665506,599231.8871991602,303,305,NA,NA,0.7722318061755633,0.7725472007526659,9_s3_m1_r3_Bamako-Ville_-7.875_12.625,1
poly,0.8838203459171177,0.8830509442344495,34.311820381348376,1148.7112204541158,6.833480162115409e-142,2,-1509.593250107227,3027.186500214454,3042.067747320884,355544.907400338,302,305,NA,NA,0.8646041150632723,0.8649826087393231,9_s3_m1_r3_Bamako-Ville_-7.875_12.625,1
step,0.8379151127291418,0.8340949302008724,40.867232509140166,219.33902543361782,2.380233211455833e-113,7,-1560.3730750067966,3138.7461500135933,3172.22895600306,496028.81580796855,297,305,NA,NA,0.7905907364709258,0.7922268056471548,9_s3_m1_r3_Bamako-Ville_-7.875_12.625,1
nls,NA,NA,38.01454431663939,NA,NA,NA,-1541.3534531951948,3088.7069063903896,3099.867841720212,437866.9906193272,303,305,TRUE,5.844818857831075e-6,0.8546239691194292,0.8642905087922038,9_s3_m1_r3_Bamako-Ville_-7.875_12.625,1
lm,0.6696357092230877,0.6685630978893964,50.10646001529846,624.3041521094227,4.6627437373204054e-76,1,-1652.2541876269495,3310.508375253899,3321.7180921463364,773282.4592615287,308,310,NA,NA,0.6663603696862264,0.6713194271935992,10_s1_m1_r3_Goudiry_-12.625_14.125,1
