name,max_lm,max_poly,max_nls,max_step
Tidjikja,NA,NA,NA,NA
Kiffa,0.509,0.629,0.627,0.61
Nema,0.541,0.685,0.674,0.585
Matam,0.501,0.673,0.674,0.617
Nioro-Du-Sahel,0.647,0.767,0.707,0.714
Bakel,0.645,0.752,0.677,0.676
Kayes,0.682,0.754,0.705,0.741
Goudiry,0.73,0.82,0.726,0.792
Segou,0.696,0.843,0.839,0.703
San,0.743,0.879,0.873,0.765
Kita,0.782,0.872,0.838,0.802
Kedougou,0.762,0.821,0.79,0.821
Bamako-Ville,0.772,0.865,0.855,0.791
Bamako-Senou,0.77,0.833,0.82,0.794
Labe,0.836,0.853,0.812,0.837
Siguiri,0.816,0.86,0.826,0.837
Sikasso,0.869,0.905,0.888,0.889
Mamou,0.815,0.815,0.755,0.842
Odienne,0.786,0.808,0.787,0.817
Korhogo,0.776,0.776,0.731,0.828
