Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1984,0,0,0,0,26.1,82.4,133.6,152,96.7,35.4,0,0,526
1985,0,0,0,0,19,78.2,127.7,140.8,92.1,34.6,0,0,492
1986,0,0,0,0,38.1,106.3,153.8,157.1,90.9,29.3,0,0,576
1987,0,0,0,0,33.5,98.8,159,135.2,82.7,36.6,0,0,546
1988,0,0,0,0,37.6,117,162.5,174.1,108.6,37.1,0,0,637
1989,0,0,0,0,40.9,101.8,174.6,162.1,107.1,37.9,0,0,624
1990,0,0,0,0,57.1,131.2,189.3,158.9,95.5,36.1,0,0,668
1991,0,0,0,0,36.9,126,182.5,194.7,117.8,48.4,11.7,0,718
1992,0,0,0,0,37.9,115.8,195.4,182.9,100.9,42,10.6,0,686
1993,0,0,0,0,33.8,98.7,170.2,160.2,89.1,30.7,10.2,0,593
1994,0,0,0,0,31.6,85.6,154.1,161,93.7,35.5,0,0,562
1995,0,0,0,0,37.2,111.6,166.7,167.6,108.4,51.9,13.3,0,657
1996,0,0,0,10.4,54.8,133.8,186.5,170.2,111.9,44.9,0,0,712
1997,0,0,0,0,29.5,91,163.9,171.1,111.7,46.6,0,0,614
1998,0,0,0,0,34.2,100.9,171.8,173.1,111.7,45.2,10.9,0,648
1999,0,0,0,0,47.5,118.8,184.1,186.6,125.5,71.4,19.1,0,753
2000,0,0,0,10.5,42.7,129.6,201.4,195.1,122.2,47.8,11.4,0,761
2001,0,0,0,0,45.2,111.8,165.4,171.3,118.1,51.3,11.3,0,674
2002,0,0,0,0,40.2,117.1,198.7,196.2,135.2,52,13,0,752
2003,0,0,0,0,34.2,92.9,160.8,165.6,110.3,48.4,13.2,0,625
2004,0,0,0,0,54.4,151.5,219.2,203.5,126.5,52.3,14.5,0,822
2005,0,0,0,0,54.7,132.6,207.5,186.1,122.3,54.5,15.3,0,773
2006,0,0,0,0,38.3,122.4,180.3,177.5,114.7,51,14.2,0,698
2007,0,0,0,0,43.6,120.9,194.4,182,121.7,59.8,14.7,0,737
2008,0,0,0,0,33.7,102.3,152.8,152.6,111.1,50.6,13.6,0,617
2009,0,0,0,0,53,129.9,188.5,190.1,116.8,45.5,10.3,0,734
2010,0,0,0,0,48.9,132.1,202.8,190.3,130.2,58.3,14.1,0,777
2011,0,0,0,0,37.6,121,184.8,179.4,124.8,57.9,12.1,0,718
2012,0,0,0,0,41.4,107.2,165.6,190.6,126.8,47.1,12.9,0,692
2013,0,0,0,0,48.1,117.6,211.2,198.3,121.3,47.8,11.7,0,756
2014,0,0,0,0,37.8,126.7,182.1,175.7,125.2,53.4,12.5,0,713
2015,0,0,0,0,41.1,126.1,190.6,200.2,134.7,60.2,13.4,0,766
2016,0,0,0,0,52.5,148.2,207.4,211.9,136.1,55.2,15.8,0,827
2017,0,0,0,11.5,52.2,121.8,187.3,183.4,123.7,58.5,16.2,0,755
2018,0,0,0,0,49.6,126.6,193,183.1,134.1,68.7,21.9,0,777
2019,0,0,0,10.1,47.6,111.9,178.9,194.1,121.2,48.6,14.2,0,727
2020,0,0,0,0,48.7,125.7,209.3,196.1,121.7,56.7,17.9,0,776
